gene	family	description
CD63	CD	CD63 molecule
CD68	CD	CD68 molecule
CD72	CD	CD72 molecule
CD74	CD	"CD74 molecule, major histocompatibility complex, class II invariant chain"
CD79A	CD	"CD79a molecule, immunoglobulin-associated alpha"
CD79B	CD	"CD79b molecule, immunoglobulin-associated beta"
CD80	CD	CD80 molecule
CD81	CD	CD81 molecule
CD82	CD	CD82 molecule
CD83	CD	CD83 molecule
CD84	CD	CD84 molecule
CD86	CD	CD86 molecule
CD93	CD	CD93 molecule
CD96	CD	CD96 molecule
CD97	CD	CD97 molecule
CD99	CD	CD99 molecule
CD109	CD	CD109 molecule
CD160	CD	CD160 molecule
CD163	CD	CD163 molecule
CD164	CD	"CD164 molecule, sialomucin"
CD177	CD	CD177 molecule
CD180	CD	CD180 molecule
CD200	CD	CD200 molecule
CD226	CD	CD226 molecule
CD244	CD	"CD244 molecule, natural killer cell receptor 2B4"
CD247	CD	CD247 molecule
CD248	CD	"CD248 molecule, endosialin"
CD274	CD	CD274 molecule
CD276	CD	CD276 molecule
CD300A	CD	CD300a molecule
CD300C	CD	CD300c molecule
CD300E	CD	CD300e molecule
CD302	CD	CD302 molecule
CD320	CD	CD320 molecule
CDCP1	CD	CUB domain containing protein 1
CEACAM1	CD	carcinoembryonic antigen-related cell adhesion molecule 1 (biliary glycoprotein)
CEACAM3	CD	carcinoembryonic antigen-related cell adhesion molecule 3
CEACAM5	CD	carcinoembryonic antigen-related cell adhesion molecule 5
CEACAM6	CD	carcinoembryonic antigen-related cell adhesion molecule 6 (non-specific cross reacting antigen)
CEACAM8	CD	carcinoembryonic antigen-related cell adhesion molecule 8
CSF1R	CD	"colony stimulating factor 1 receptor, formerly McDonough feline sarcoma viral (v-fms) oncogene homolog"
CSF2RA	CD	"colony stimulating factor 2 receptor, alpha, low-affinity (granulocyte-macrophage)"
CSF2RB	CD	"colony stimulating factor 2 receptor, beta, low-affinity (granulocyte-macrophage)"
CSF3R	CD	colony stimulating factor 3 receptor (granulocyte)
CTLA4	CD	cytotoxic T-lymphocyte-associated protein 4
CXCR4	CD	chemokine (C-X-C motif) receptor 4
CXCR6	CD	chemokine (C-X-C motif) receptor 6
DDR1	CD	"discoidin domain receptor family, member 1"
DPP4	CD	"dipeptidyl-peptidase 4 (CD26, adenosine deaminase complexing protein 2)"
EMR2	CD	"egf-like module containing, mucin-like, hormone receptor-like 2"
ENG	CD	endoglin (Osler-Rendu-Weber syndrome 1)
ENPEP	CD	glutamyl aminopeptidase (aminopeptidase A)
ENPP3	CD	ectonucleotide pyrophosphatase/phosphodiesterase 3
ENTPD1	CD	ectonucleoside triphosphate diphosphohydrolase 1
F3	CD	"coagulation factor III (thromboplastin, tissue factor)"
F11R	CD	F11 receptor
FCAR	CD	"Fc fragment of IgA, receptor for"
FCGR1A	CD	"Fc fragment of IgG, high affinity Ia, receptor (CD64)"
FCGR2A	CD	"Fc fragment of IgG, low affinity IIa, receptor (CD32)"
FCGR2B	CD	"Fc fragment of IgG, low affinity IIb, receptor (CD32)"
FCGR2C	CD	"Fc fragment of IgG, low affinity IIb, receptor for (CD32)"
FCGR3A	CD	"Fc fragment of IgG, low affinity IIIa, receptor (CD16a)"
FCGR3B	CD	"Fc fragment of IgG, low affinity IIIb, receptor (CD16b)"
FCRL5	CD	Fc receptor-like 5
FGFR1	CD	"fibroblast growth factor receptor 1 (fms-related tyrosine kinase 2, Pfeiffer syndrome)"
FGFR2	CD	"fibroblast growth factor receptor 2 (bacteria-expressed kinase, keratinocyte growth factor receptor, craniofacial dysostosis 1, Crouzon syndrome, Pfeiffer syndrome, Jackson-Weiss syndrome)"
FGFR3	CD	"fibroblast growth factor receptor 3 (achondroplasia, thanatophoric dwarfism)"
FGFR4	CD	fibroblast growth factor receptor 4
FLT3	CD	fms-related tyrosine kinase 3
FUT4	CD	"fucosyltransferase 4 (alpha (1,3) fucosyltransferase, myeloid-specific)"
GGT1	CD	gamma-glutamyltransferase 1
GP1BA	CD	"glycoprotein Ib (platelet), alpha polypeptide"
GP1BB	CD	"glycoprotein Ib (platelet), beta polypeptide"
GP5	CD	glycoprotein V (platelet)
GP9	CD	glycoprotein IX (platelet)
HMMR	CD	hyaluronan-mediated motility receptor (RHAMM)
ICAM1	CD	"intercellular adhesion molecule 1 (CD54), human rhinovirus receptor"
ICAM2	CD	intercellular adhesion molecule 2
ICAM3	CD	intercellular adhesion molecule 3
ICOS	CD	inducible T-cell co-stimulator
ICOSLG	CD	inducible T-cell co-stimulator ligand
IFITM1	CD	interferon induced transmembrane protein 1 (9-27)
IGF1R	CD	insulin-like growth factor 1 receptor
IGF2R	CD	insulin-like growth factor 2 receptor
INSR	CD	insulin receptor
ITGA1	CD	"integrin, alpha 1"
ITGA2	CD	"integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)"
ITGA2B	CD	"integrin, alpha 2b (platelet glycoprotein IIb of IIb/IIIa complex, antigen CD41)"
ITGA3	CD	"integrin, alpha 3 (antigen CD49C, alpha 3 subunit of VLA-3 receptor)"
ITGA4	CD	"integrin, alpha 4 (antigen CD49D, alpha 4 subunit of VLA-4 receptor)"
ITGA5	CD	"integrin, alpha 5 (fibronectin receptor, alpha polypeptide)"
ITGA6	CD	"integrin, alpha 6"
ITGAD	CD	"integrin, alpha D"
ITGAE	CD	"integrin, alpha E (antigen CD103, human mucosal lymphocyte antigen 1; alpha polypeptide)"
ITGAL	CD	"integrin, alpha L (antigen CD11A (p180), lymphocyte function-associated antigen 1; alpha polypeptide)"
ITGAV	CD	"integrin, alpha V (vitronectin receptor, alpha polypeptide, antigen CD51)"
ITGB1	CD	"integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)"
ITGB3	CD	"integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)"
ITGB4	CD	"integrin, beta 4"
JAG1	CD	jagged 1 (Alagille syndrome)
JAM2	CD	junctional adhesion molecule 2
KDR	CD	kinase insert domain receptor (a type III receptor tyrosine kinase)
KIT	CD	v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog
L1CAM	CD	L1 cell adhesion molecule
LAG3	CD	lymphocyte-activation gene 3
LAMP1	CD	lysosomal-associated membrane protein 1
LAMP2	CD	lysosomal-associated membrane protein 2
LAMP3	CD	lysosomal-associated membrane protein 3
LEPR	CD	leptin receptor
LIFR	CD	leukemia inhibitory factor receptor alpha
LRP1	CD	low density lipoprotein-related protein 1 (alpha-2-macroglobulin receptor)
LY9	CD	lymphocyte antigen 9
LY75	CD	lymphocyte antigen 75
MCAM	CD	melanoma cell adhesion molecule
MFI2	CD	antigen p97 (melanoma associated) identified by monoclonal antibodies 133.2 and 96.5
MME	CD	"membrane metallo-endopeptidase (neutral endopeptidase, enkephalinase, CALLA, CD10)"
MPL	CD	myeloproliferative leukemia virus oncogene
MRC1	CD	"mannose receptor, C type 1"
MRC2	CD	"mannose receptor, C type 2"
MS4A1	CD	"membrane-spanning 4-domains, subfamily A, member 1"
MSR1	CD	macrophage scavenger receptor 1
MST1R	CD	macrophage stimulating 1 receptor (c-met-related tyrosine kinase)
MUC1	CD	"mucin 1, cell surface associated"
NCAM1	CD	neural cell adhesion molecule 1
NCR1	CD	natural cytotoxicity triggering receptor 1
NCR2	CD	natural cytotoxicity triggering receptor 2
NCR3	CD	natural cytotoxicity triggering receptor 3
NRP1	CD	neuropilin 1
NT5E	CD	"5'-nucleotidase, ecto (CD73)"
PDCD1	CD	programmed cell death 1
PDCD1LG2	CD	programmed cell death 1 ligand 2
PDGFRA	CD	"platelet-derived growth factor receptor, alpha polypeptide"
PDGFRB	CD	"platelet-derived growth factor receptor, beta polypeptide"
PECAM1	CD	platelet/endothelial cell adhesion molecule (CD31 antigen)
PLAUR	CD	"plasminogen activator, urokinase receptor"
PLXNC1	CD	plexin C1
PRNP	CD	"prion protein (p27-30) (Creutzfeldt-Jakob disease, Gerstmann-Strausler-Scheinker syndrome, fatal familial insomnia)"
PROCR	CD	"protein C receptor, endothelial (EPCR)"
PROM1	CD	prominin 1
PSG1	CD	pregnancy specific beta-1-glycoprotein 1
PTGFRN	CD	prostaglandin F2 receptor negative regulator
PTPRC	CD	"protein tyrosine phosphatase, receptor type, C"
PTPRJ	CD	"protein tyrosine phosphatase, receptor type, J"
PVR	CD	poliovirus receptor
PVRL1	CD	poliovirus receptor-related 1 (herpesvirus entry mediator C; nectin)
PVRL2	CD	poliovirus receptor-related 2 (herpesvirus entry mediator B)
PVRL3	CD	poliovirus receptor-related 3
RHAG	CD	Rh-associated glycoprotein
SDC1	CD	syndecan 1
SELE	CD	selectin E (endothelial adhesion molecule 1)
SELL	CD	selectin L (lymphocyte adhesion molecule 1)
SELP	CD	"selectin P (granule membrane protein 140kDa, antigen CD62)"
SELPLG	CD	selectin P ligand
SIGLEC1	CD	"sialic acid binding Ig-like lectin 1, sialoadhesin"
SIRPA	CD	signal-regulatory protein alpha
SIRPB1	CD	signal-regulatory protein beta 1
SIRPG	CD	signal-regulatory protein gamma
SLAMF1	CD	signaling lymphocytic activation molecule family member 1
SLAMF7	CD	SLAM family member 7
SLC7A5	CD	"solute carrier family 7 (cationic amino acid transporter, y+ system), member 5"
SLC44A1	CD	"solute carrier family 44, member 1"
SPN	CD	"sialophorin (leukosialin, CD43)"
TACSTD1	CD	tumor-associated calcium signal transducer 1
TEK	CD	"TEK tyrosine kinase, endothelial (venous malformations, multiple cutaneous and mucosal)"
TFRC	CD	"transferrin receptor (p90, CD71)"
THBD	CD	thrombomodulin
THY1	CD	Thy-1 cell surface antigen
TLR1	CD	toll-like receptor 1
TLR2	CD	toll-like receptor 2
TLR3	CD	toll-like receptor 3
TLR4	CD	toll-like receptor 4
TLR9	CD	toll-like receptor 9
TSPAN7	CD	tetraspanin 7
VCAM1	CD	vascular cell adhesion molecule 1
VPREB1	CD	pre-B lymphocyte gene 1
ART4	"CD, bloodgroup"	ADP-ribosyltransferase 4 (Dombrock blood group)
BCAM	"CD, bloodgroup"	basal cell adhesion molecule (Lutheran blood group)
BSG	"CD, bloodgroup"	basigin (Ok blood group)
CD44	"CD, bloodgroup"	CD44 molecule (Indian blood group)
CD55	"CD, bloodgroup"	"CD55 molecule, decay accelerating factor for complement (Cromer blood group)"
CD151	"CD, bloodgroup"	CD151 molecule (Raph blood group)
DARC	"CD, bloodgroup"	"Duffy blood group, chemokine receptor"
FUT3	"CD, bloodgroup"	"fucosyltransferase 3 (galactoside 3(4)-L-fucosyltransferase, Lewis blood group)"
GYPA	"CD, bloodgroup"	glycophorin A (MNS blood group)
GYPB	"CD, bloodgroup"	glycophorin B (MNS blood group)
GYPC	"CD, bloodgroup"	glycophorin C (Gerbich blood group)
ICAM4	"CD, bloodgroup"	intercellular adhesion molecule 4 (Landsteiner-Wiener blood group)
KEL	"CD, bloodgroup"	"Kell blood group, metalloendopeptidase"
RHCE	"CD, bloodgroup"	"Rh blood group, CcEe antigens"
RHD	"CD, bloodgroup"	"Rh blood group, D antigen"
SLC4A1	"CD, bloodgroup"	"solute carrier family 4, anion exchanger, member 1 (erythrocyte membrane protein band 3, Diego blood group)"
CR1	"CD, bloodgroup, complement"	complement component (3b/4b) receptor 1 (Knops blood group)
C5AR1	"CD, complement"	complement component 5a receptor 1
CD46	"CD, complement"	"CD46 molecule, complement regulatory protein"
CD59	"CD, complement"	"CD59 molecule, complement regulatory protein"
CR2	"CD, complement"	complement component (3d/Epstein Barr virus) receptor 2
ITGAM	"CD, complement"	"integrin, alpha M (complement component 3 receptor 3 subunit)"
ITGAX	"CD, complement"	"integrin, alpha X (complement component 3 receptor 4 subunit)"
ITGB2	"CD, complement"	"integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)"
CD22	"CD, SIGLEC"	CD22 molecule
CD33	"CD, SIGLEC"	CD33 molecule
CDH3	CDH	"cadherin 3, type 1, P-cadherin (placental)"
CDH4	CDH	"cadherin 4, type 1, R-cadherin (retinal)"
CDH6	CDH	"cadherin 6, type 2, K-cadherin (fetal kidney)"
CDH7	CDH	"cadherin 7, type 2"
CDH8	CDH	"cadherin 8, type 2"
CDH9	CDH	"cadherin 9, type 2 (T1-cadherin)"
CDH10	CDH	"cadherin 10, type 2 (T2-cadherin)"
CDH11	CDH	"cadherin 11, type 2, OB-cadherin (osteoblast)"
CDH12	CDH	"cadherin 12, type 2 (N-cadherin 2)"
CDH12P	CDH	cadherin 12 (N-cadherin 2) pseudogene
CDH13	CDH	"cadherin 13, H-cadherin (heart)"
CDH15	CDH	"cadherin 15, M-cadherin (myotubule)"
CDH16	CDH	"cadherin 16, KSP-cadherin"
CDH17	CDH	"cadherin 17, LI cadherin (liver-intestine)"
CDH18	CDH	"cadherin 18, type 2"
CDH19	CDH	"cadherin 19, type 2"
CDH20	CDH	"cadherin 20, type 2"
CDH22	CDH	cadherin-like 22
CDH23	CDH	cadherin-like 23
CDH24	CDH	cadherin-like 24
CDH26	CDH	cadherin-like 26
CELSR1	CDH	"cadherin, EGF LAG seven-pass G-type receptor 1 (flamingo homolog, Drosophila)"
CELSR2	CDH	"cadherin, EGF LAG seven-pass G-type receptor 2 (flamingo homolog, Drosophila)"
CELSR3	CDH	"cadherin, EGF LAG seven-pass G-type receptor 3 (flamingo homolog, Drosophila)"
DSC1	CDH	desmocollin 1
DSC2	CDH	desmocollin 2
DSC3	CDH	desmocollin 3
DSG1	CDH	desmoglein 1
DSG2	CDH	desmoglein 2
DSG3	CDH	desmoglein 3 (pemphigus vulgaris antigen)
DSG4	CDH	desmoglein 4
FAT	CDH	FAT tumor suppressor homolog 1 (Drosophila)
FAT2	CDH	FAT tumor suppressor homolog 2 (Drosophila)
FAT3	CDH	FAT tumor suppressor homolog 3 (Drosophila)
FAT4	CDH	FAT tumor suppressor homolog 4 (Drosophila)
RET	CDH	"ret proto-oncogene (multiple endocrine neoplasia and medullary thyroid carcinoma 1, Hirschsprung disease)"
CDH1	"CDH, CD"	"cadherin 1, type 1, E-cadherin (epithelial)"
CDH2	"CDH, CD"	"cadherin 2, type 1, N-cadherin (neuronal)"
CDH5	"CDH, CD"	"cadherin 5, type 2, VE-cadherin (vascular epithelium)"
CDK2	CDK	cyclin-dependent kinase 2
CDK3	CDK	cyclin-dependent kinase 3
CDK4	CDK	cyclin-dependent kinase 4
CDK5	CDK	cyclin-dependent kinase 5
CDK6	CDK	cyclin-dependent kinase 6
CDK7	CDK	"cyclin-dependent kinase 7 (MO15 homolog, Xenopus laevis, cdk-activating kinase)"
CDK8	CDK	cyclin-dependent kinase 8
CDK9	CDK	cyclin-dependent kinase 9 (CDC2-related kinase)
CENTA1	CENT	"centaurin, alpha 1"
CENTA2	CENT	"centaurin, alpha 2"
CENTB1	CENT	"centaurin, beta 1"
CENTB2	CENT	"centaurin, beta 2"
CENTB5	CENT	"centaurin, beta 5"
CENTD1	CENT	"centaurin, delta 1"
CENTD2	CENT	"centaurin, delta 2"
CENTD3	CENT	"centaurin, delta 3"
CENTG1	CENT	"centaurin, gamma 1"
CENTG2	CENT	"centaurin, gamma 2"
CENTG3	CENT	"centaurin, gamma 3"
CHCHD1	CHCHD	coiled-coil-helix-coiled-coil-helix domain containing 1
CHCHD2	CHCHD	coiled-coil-helix-coiled-coil-helix domain containing 2
CHCHD3	CHCHD	coiled-coil-helix-coiled-coil-helix domain containing 3
CHCHD4	CHCHD	coiled-coil-helix-coiled-coil-helix domain containing 4
CHCHD5	CHCHD	coiled-coil-helix-coiled-coil-helix domain containing 5
CHCHD6	CHCHD	coiled-coil-helix-coiled-coil-helix domain containing 6
CHCHD7	CHCHD	coiled-coil-helix-coiled-coil-helix domain containing 7
CHCHD8	CHCHD	coiled-coil-helix-coiled-coil-helix domain containing 8
CHCHD9	CHCHD	coiled-coil-helix-coiled-coil-helix domain containing 9
CLDN1	CLDN	claudin 1
CLDN2	CLDN	claudin 2
CLDN3	CLDN	claudin 3
CLDN4	CLDN	claudin 4
CLDN5	CLDN	claudin 5 (transmembrane protein deleted in velocardiofacial syndrome)
CLDN6	CLDN	claudin 6
CLDN7	CLDN	claudin 7
CLDN8	CLDN	claudin 8
CLDN9	CLDN	claudin 9
CLDN10	CLDN	claudin 10
CLDN11	CLDN	claudin 11 (oligodendrocyte transmembrane protein)
CLDN12	CLDN	claudin 12
CLDN14	CLDN	claudin 14
CLDN15	CLDN	claudin 15
CLDN16	CLDN	claudin 16
CLDN17	CLDN	claudin 17
CLDN18	CLDN	claudin 18
CLDN19	CLDN	claudin 19
CLDN20	CLDN	claudin 20
CLDN21	CLDN	claudin 21
CLDN22	CLDN	claudin 22
CLDN23	CLDN	claudin 23
ASGR1	CLEC	asialoglycoprotein receptor 1
ASGR2	CLEC	asialoglycoprotein receptor 2
CLEC1A	CLEC	"C-type lectin domain family 1, member A"
CLEC1B	CLEC	"C-type lectin domain family 1, member B"
CLEC2A	CLEC	"C-type lectin domain family 2, member A"
CLEC2B	CLEC	"C-type lectin domain family 2, member B"
CLEC2D	CLEC	"C-type lectin domain family 2, member D"
CLEC3A	CLEC	"C-type lectin domain family 3, member A"
CLEC4A	CLEC	"C-type lectin domain family 4, member A"
CLEC4D	CLEC	"C-type lectin domain family 4, member D"
CLEC4E	CLEC	"C-type lectin domain family 4, member E"
CLEC4F	CLEC	"C-type lectin domain family 4, member F"
CLEC5A	CLEC	"C-type lectin domain family 5, member A"
CLEC6A	CLEC	"C-type lectin domain family 6, member A"
CLEC7A	CLEC	"C-type lectin domain family 7, member A"
CLEC12A	CLEC	"C-type lectin domain family 12, member A"
CD69	"CLEC, CD"	CD69 molecule
CD207	"CLEC, CD"	"CD207 molecule, langerin"
CD209	"CLEC, CD"	CD209 molecule
CLEC4C	"CLEC, CD"	"C-type lectin domain family 4, member C"
CLEC4M	"CLEC, CD"	"C-type lectin domain family 4, member M"
CLEC10A	"CLEC, CD"	"C-type lectin domain family 10, member A"
FCER2	"CLEC, CD"	"Fc fragment of IgE, low affinity II, receptor for (CD23)"
CLIC1	CLIC	chloride intracellular channel 1
CLIC2	CLIC	chloride intracellular channel 2
CLIC3	CLIC	chloride intracellular channel 3
CLIC4	CLIC	chloride intracellular channel 4
CLIC5	CLIC	chloride intracellular channel 5
CLIC6	CLIC	chloride intracellular channel 6
CLK1	CLK	CDC-like kinase 1
CLK2	CLK	CDC-like kinase 2
CLK2P	CLK	"CDC-like kinase 2, pseudogene"
CLK3	CLK	CDC-like kinase 3
CLK4	CLK	CDC-like kinase 4
COG1	COG	component of oligomeric golgi complex 1
COG2	COG	component of oligomeric golgi complex 2
COG3	COG	component of oligomeric golgi complex 3
COG4	COG	component of oligomeric golgi complex 4
COG5	COG	component of oligomeric golgi complex 5
COG6	COG	component of oligomeric golgi complex 6
COG7	COG	component of oligomeric golgi complex 7
COG8	COG	component of oligomeric golgi complex 8
COLEC2	COLEC	collectin sub-family member 2
COLEC8	COLEC	collectin sub-family member 8 (conglutinin)
COLEC9	COLEC	collectin sub-family member 9 (collectin 43)
COLEC10	COLEC	collectin sub-family member 10 (C-type lectin)
COLEC11	COLEC	collectin sub-family member 11
COLEC12	COLEC	collectin sub-family member 12
MBL1P1	COLEC	"mannose-binding lectin (protein A) 1, pseudogene 1"
MBL2	COLEC	"mannose-binding lectin (protein C) 2, soluble (opsonic defect)"
SFTPA1	COLEC	"surfactant, pulmonary-associated protein A1"
SFTPA2	COLEC	"surfactant, pulmonary-associated protein A2"
SFTPAP1	COLEC	"surfactant, pulmonary-associated protein A pseudogene 1"
SFTPD	COLEC	"surfactant, pulmonary-associated protein D"
C1QA	complement	"complement component 1, q subcomponent, A chain"
C1QB	complement	"complement component 1, q subcomponent, B chain"
C1QC	complement	"complement component 1, q subcomponent, C chain"
C1R	complement	"complement component 1, r subcomponent"
C1S	complement	"complement component 1, s subcomponent"
C2	complement	complement component 2
C3	complement	complement component 3
C3AR1	complement	complement component 3a receptor 1
C5	complement	complement component 5
C6	complement	complement component 6
C7	complement	complement component 7
C8A	complement	"complement component 8, alpha polypeptide"
C8B	complement	"complement component 8, beta polypeptide"
C8G	complement	"complement component 8, gamma polypeptide"
C9	complement	complement component 9
CFB	complement	complement factor B
CFD	complement	complement factor D (adipsin)
CFH	complement	complement factor H
CFHR1	complement	complement factor H-related 1
CFHR1P	complement	complement factor H-related 1 pseudogene
CFHR2	complement	complement factor H-related 2
CFHR3	complement	complement factor H-related 3
CFHR4	complement	complement factor H-related 4
CFHR5	complement	complement factor H-related 5
CFI	complement	complement factor I
CFP	complement	complement factor properdin
CR1L	complement	complement component (3b/4b) receptor 1-like
CORO1A	CORO	"coronin, actin binding protein, 1A"
CORO1B	CORO	"coronin, actin binding protein, 1B"
CORO1C	CORO	"coronin, actin binding protein, 1C"
CORO2A	CORO	"coronin, actin binding protein, 2A"
CORO2B	CORO	"coronin, actin binding protein, 2B"
CORO6	CORO	coronin 6
CORO7	CORO	coronin 7
COX4I1	COX	cytochrome c oxidase subunit IV isoform 1
COX4I1P1	COX	cytochrome c oxidase subunit IV isoform 1 pseudogene 1
COX4I2	COX	cytochrome c oxidase subunit IV isoform 2 (lung)
COX5A	COX	cytochrome c oxidase subunit Va
COX5AP1	COX	cytochrome c oxidase subunit Va pseudogene 1
COX5AP2	COX	cytochrome c oxidase subunit Va pseudogene 2
COX5B	COX	cytochrome c oxidase subunit Vb
COX5BL1	COX	cytochrome c oxidase subunit Vb-like 1
COX5BL2	COX	cytochrome c oxidase subunit Vb-like 2
COX5BL3	COX	cytochrome c oxidase subunit Vb-like 3
COX5BL4	COX	cytochrome c oxidase subunit Vb-like 4
COX5BL5	COX	cytochrome c oxidase subunit Vb-like 5
COX5BL6	COX	cytochrome c oxidase subunit Vb-like 6
COX5BL7	COX	cytochrome c oxidase subunit Vb-like 7
COX6A1	COX	cytochrome c oxidase subunit VIa polypeptide 1
COX6A1P	COX	cytochrome c oxidase subunit VIa polypeptide 1 pseudogene
COX6A2	COX	cytochrome c oxidase subunit VIa polypeptide 2
COX6B1	COX	cytochrome c oxidase subunit Vib polypeptide 1 (ubiquitous)
COX6B2	COX	cytochrome c oxidase subunit VIb polypeptide 2 (testis)
COX6BP1	COX	cytochrome c oxidase subunit VIb pseudogene 1 (HCOX52)
COX6BP2	COX	cytochrome c oxidase subunit VIb pseudogene 2
COX6BP3	COX	cytochrome c oxidase subunit VIb pseudogene 3
COX6BP4	COX	cytochrome c oxidase subunit VIb pseudogene 4
COX6C	COX	cytochrome c oxidase subunit VIc
COX6CP1	COX	cytochrome c oxidase subunit VIc pseudogene 1
COX6CP2	COX	cytochrome c oxidase subunit VIc pseudogene 2
COX6CP4	COX	cytochrome c oxidase subunit VIc pseudogene 4
COX7A1	COX	cytochrome c oxidase subunit VIIa polypeptide 1 (muscle)
COX7A2	COX	cytochrome c oxidase subunit VIIa polypeptide 2 (liver)
COX7A2L	COX	cytochrome c oxidase subunit VIIa polypeptide 2 like
COX7AP1	COX	cytochrome c oxidase subunit VIIa pseudogene 1
COX7AP2	COX	cytochrome c oxidase subunit VIIa pseudogene 2
COX7B	COX	cytochrome c oxidase subunit VIIb
COX7B2	COX	cytochrome c oxidase subunit VIIb2
COX7BP1	COX	cytochrome c oxidase subunit VIIb pseudogene 1
